time latitude longitude depth mag magType
2023-03-28T04:31:48.573Z -3.6472 139.08 10 4.3 mb
2023-03-28T04:19:09.715Z -0.3835 123.5482 74.625 5 mww
2023-03-28T04:12:00.570Z 19.0316666666667 -67.1503333333333 8.29 3.3 md
2023-03-28T04:05:00.070Z 39.411499 -123.3365021 4.86 2.54 md
2023-03-28T03:17:00.818Z -17.871 167.4196 10 4.7 mb
2023-03-28T02:26:28.540Z 40.2823333 -124.3806667 20.94 2.96 md
2023-03-28T01:11:30.779Z 56.1459 -157.6988 16.9 3.5 ml
2023-03-28T00:28:06.210Z 18.3466666666667 -65.9161666666667 41.78 2.73 md
2023-03-28T00:05:41.338Z -6.2098 130.235 117.25 4.3 mb
2023-03-27T23:36:27.260Z 19.1615 -64.9405 38.94 3.34 md
2023-03-27T23:22:21.645Z 59.8252 -150.7887 44.3 3 ml
2023-03-27T23:17:27.577Z -17.4183 -176.9879 404.557 4.2 mb
2023-03-27T22:33:18.160Z 51.8541666666667 -178.061833333333 3.07 2.8 ml
2023-03-27T22:19:15.836Z -8.2105 158.9268 85.976 6.1 mww
2023-03-27T21:42:07.980Z 19.3298333333333 -155.128166666667 5.45 2.5 ml
2023-03-27T21:14:58.930Z 40.4155 -124.6255 24.26 2.59 md
2023-03-27T21:10:11.070Z 18.2198333333333 -65.299 10.39 2.7 md
2023-03-27T18:20:36.153Z -0.7264 29.3364 16.059 4.9 mb
2023-03-27T17:00:06.540Z 38.7695007 -122.7376633 1.15 2.51 md
2023-03-27T16:31:20.401Z 14.0666 -90.9464 101.368 4.3 mb
2023-03-27T16:21:20.216Z -44.0814 -81.8608 10 4.7 mb
2023-03-27T15:55:19.329Z -26.6931 -71.5544 20.136 4 mb
2023-03-27T15:52:03.940Z 53.9146 -166.625 9.522 2.8 ml
2023-03-27T14:54:44.750Z 17.9878333333333 -67.0563333333333 15.14 2.67 md
2023-03-27T14:35:16.052Z 38.0716 36.5315 7.802 4.4 mwr
2023-03-27T12:11:13.966Z 13.0893 143.9275 136.304 4.8 mb
2023-03-27T12:04:32.551Z 13.5662 -88.5654 177.506 4.4 mb
2023-03-27T11:56:14.950Z 58.2399 -155.0264 0.6 3.3 ml
2023-03-27T10:20:08.971Z 60.3491 -143.4918 1.2 2.5 ml
2023-03-27T09:28:56.340Z 33.7856667 -116.0535 7.37 2.58 ml
2023-03-27T05:25:19.467Z 49.9655 -178.7466 10 4.5 mb
2023-03-27T04:53:13.028Z 43.3548 -126.8521 10 4 mb
2023-03-27T04:50:00.624Z 53.5347 -170.5969 204.207 4.2 mb
2023-03-27T04:39:16.340Z 18.8155 -155.160333333333 7.79 4.12 ml
2023-03-27T04:22:18.302Z -24.3046 -67.2997 180.766 4.1 mb
2023-03-27T03:29:06.960Z 19.0095 -65.038 12.07 3.26 md
2023-03-27T02:56:06.731Z -5.5666 146.923 186.972 4.6 mb
2023-03-27T02:53:43.417Z -22.7695 171.7227 10.385 5 mb
2023-03-27T02:42:37.872Z -26.154 178.5166 630.659 4.5 mb
2023-03-27T02:29:21.602Z -17.8319 -178.213 466.766 5.5 mww
2023-03-27T01:59:11.570Z 18.836 -155.180333333333 8.29 3.01 ml
2023-03-27T01:55:01.809Z 32.00540127 -103.8001046 7.93112793 3.4 ml
2023-03-27T00:42:14.205Z -40.1543 174.4049 103.002 4.7 mb
2023-03-27T00:36:56.918Z -7.0539 129.6334 106.363 4.4 mb
2023-03-27T00:16:10.294Z 37.3316 71.6527 139.582 4 mb
2023-03-26T23:23:28.598Z 36.3373 69.9801 123.656 4.2 mb
2023-03-26T23:00:41.688Z 6.8628 -73.1361 148.306 4.3 mb
2023-03-26T22:17:10.877Z -16.5556 -74.586 10 4.3 mb
